  Open,  High,   Low, Close,Volume
45.493,45.572,43.739,43.739,580500
44.87,44.87,42.617,43.302,535931
42.786,43.009,42.136,42.476,392821
42.039,42.244,41.523,41.542,562667
41.487,41.532,40.996,41.041,541781
41.46,41.852,41.033,41.693,521257
41.701,42.155,41.21,41.327,385971
41.674,41.906,40.873,41.843,280264
42.892,43.676,42.172,43.676,684853
43.579,45.538,42.786,45.485,376183
45.689,45.689,45.084,45.403,340661
45.351,47.416,44.559,46.204,685413
46.063,47.934,46.063,47.228,731030
47.095,48.564,46.648,47.907,567360
47.852,47.975,45.617,46.356,621950
46.356,47.54,46.356,46.632,391790
46.107,47.14,45.706,46.489,569042
46.793,47.248,45.663,45.999,1283547
46.293,47.088,45.519,45.519,605437
45.503,46.784,45.244,46.623,833234
46.31,47.425,45.786,46.883,451776
46.703,46.703,43.409,44.45,1566671
44.771,45.181,43.696,44.068,827950
43.366,43.366,40.883,41.121,1789238
40.739,41.656,39.626,39.705,978584
39.67,39.713,36.715,37.215,2282911
37.411,38.228,37.062,37.888,1324605
36.448,40,36.448,39.713,1463534
38.85,41.602,38.426,41.557,932622
